,Unnamed: 0,Unnamed: 0.1,SAR EU,4G bands,Loudspeaker,Models,3G bands,2G bands,5G bands,Features,Announced,Size,OS,Single,Resolution,3.5mm jack,SAR,GPS,USB,CPU,Colors,Build,Radio,Technology,name,Card slot,Bluetooth,NFC,Status,Dimensions,Chipset,Triple,Speed,Type,Weight,Sensors,Video,WLAN,GPU,Internal,SIM,Price,Charging,Unnamed: 1,Quad,Protection,Dual,Display,Performance,Camera,Battery life,Audio quality,EDGE,GPRS,Music play,Stand-by,Talk time,Infrared port,Penta,Five
44,1,1,,"1, 3, 5, 8, 38, 40, 41",Yes,"SM-F415F/DS, SM-F415F",HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HDR,"2020, October 08","6.4 inches, 100.5 cm2 (~84.1% screen-to-body ratio)","Android 10, upgradable to Android 11, One UI 3.1","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",Yes,0.38 W/kg (head),"Yes, with A-GPS, GLONASS, GALILEO, BDS",USB Type-C 2.0,Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"Fusion Black, Fusion Blue, Fusion Green","Glass front, plastic back, plastic frame","FM radio, RDS, recording",GSM / HSPA / LTE,Samsung Galaxy F41,microSDXC (dedicated slot),"5.0, A2DP, LE",No,"Available. Released 2020, October 16",159.2 x 75.1 x 8.9 mm (6.27 x 2.96 x 0.35 in),Exynos 9611 (10nm),"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.2, 123˚ (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (depth)","HSPA 42.2/5.76 Mbps, LTE-A","Li-Po 6000 mAh, non-removable",191 g (6.74 oz),"Fingerprint (rear-mounted), accelerometer, gyro, compass",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Mali-G72 MP3,"64GB 6GB RAM, 128GB 6GB RAM","Dual SIM (Nano-SIM, dual stand-by)","₹ 17,990",Fast charging 15W,Virtual proximity sensing,,,,,,,,,,,,,,,,
45,2,2,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 38, 40, 41, 66","Yes, with stereo speakers",SM-T575,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 900 / 1800 / 1900,,"LED flash, HDR, panorama","2020, September 28","8.0 inches, 185.6 cm2 (~68.5% screen-to-body ratio)","Android 10, One UI 2.5","5 MP, f/2.2","1200 x 1920 pixels, 16:10 ratio (~283 ppi density)",Yes,1.09 W/kg (head)     1.39 W/kg (body),"Yes, with A-GPS, GLONASS, GALILEO, BDS",USB Type-C 3.1; magnetic connector,Octa-core (4x2.7 GHz Mongoose M3 & 4x1.7 GHz Cortex-A55),Black,,No,GSM / HSPA / LTE,Samsung Galaxy Tab Active3,microSDXC (dedicated slot),"5.0, A2DP, LE",Yes (EMV Level 1 certification),"Available. Released 2020, September 28",213.8 x 126.8 x 9.9 mm (8.42 x 4.99 x 0.39 in),Exynos 9810 (10 nm),,"HSPA 42.2/5.76 Mbps, LTE-A","Li-Ion 5050 mAh, removable",426 g (Wi-Fi) / 429 g (LTE) (15.03 oz),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",Mali-G72 MP18,"64GB 4GB RAM, 128GB 4GB RAM",Nano-SIM,About 600 EUR,Fast charging 15W,Samsung DeX (desktop experience support),,,,,,,,,,,,,,,,
46,3,3,0.50 W/kg (head)     1.35 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 66, 71 - USA",-26.3 LUFS (Good),"SM-G781B, SM-G781B/DS, SM-G781U, SM-G781U1, SM-G781W, SM-G7810, SM-G781N, SM-G781V",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),"2, 5, 41, 66, 71 Sub6 - USA",HDR,"2020, September 23","6.5 inches, 101.0 cm2 (~84.8% screen-to-body ratio)","Android 10, upgradable to Android 11, One UI 3.1","32 MP, f/2.2, 26mm (wide), 1/2.74"", 0.8µm","1080 x 2400 pixels, 20:9 ratio (~407 ppi density)",No,,"Yes, with A-GPS, GLONASS, BDS, GALILEO","USB Type-C 3.2, USB On-The-Go",Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),"Cloud Lavender, Cloud Mint, Cloud Navy, Cloud White, Cloud Red, Cloud Orange","Glass front, plastic back, aluminum frame",No,GSM / CDMA / HSPA / EVDO / LTE / 5G,Samsung Galaxy S20 FE 5G,microSDXC (uses shared SIM slot),"5.0, A2DP, LE",Yes,"Available. Released 2020, October 02",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),Qualcomm SM8250 Snapdragon 865 5G (7 nm+),"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
8 MP, f/2.4, 76mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat19 1800/200 Mbps, 5G","Li-Ion 4500 mAh, non-removable",190 g (6.70 oz),"Fingerprint (under display, optical), accelerometer, gyro, compass","4K@30/60fps, 1080p@30/60fps (gyro-EIS)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",Adreno 650,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","$ 499.00 / £ 520.00 / € 550.00 / ₹ 35,840","Fast charging 25W
Fast wireless charging 15W
Reverse wireless charging 4.5W
USB Power Delivery 3.0",,,,,Contrast ratio: Infinite (nominal),"AnTuTu: 543986 (v8)
GeekBench: 3296 (v5.1)
GFXBench: 45fps (ES 3.1 onscreen)",Photo / Video,Endurance rating 110h,,,,,,,,,
47,4,4,0.24 W/kg (head)     1.45 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 32, 38, 40, 41, 66 - International","Yes, with stereo speakers","SM-G780F, SM-G780F/DSM, SM-G780G",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),,HDR,"2020, September 23","6.5 inches, 101.0 cm2 (~84.8% screen-to-body ratio)","Android 10, upgradable to Android 11, One UI 3.0","32 MP, f/2.2, 26mm (wide), 1/2.74"", 0.8µm","1080 x 2400 pixels, 20:9 ratio (~407 ppi density)",No,,"Yes, with A-GPS, GLONASS, BDS, GALILEO","USB Type-C 3.2, USB On-The-Go","Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - Version 1
Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - Version 2","Cloud Lavender, Cloud Mint, Cloud Navy, Cloud White, Cloud Red, Cloud Orange","Glass front, plastic back, aluminum frame",No,GSM / CDMA / HSPA / EVDO / LTE,Samsung Galaxy S20 FE,microSDXC (uses shared SIM slot),"5.0, A2DP, LE",Yes,"Available. Released 2020, October 02",159.8 x 74.5 x 8.4 mm (6.29 x 2.93 x 0.33 in),"Exynos 990 (7 nm+) - Version 1
Qualcomm SM8250 Snapdragon 865 5G (7 nm+) - Version 2","12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
8 MP, f/2.4, 76mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat19 1800/200 Mbps","Li-Ion 4500 mAh, non-removable",190 g (6.70 oz),"Fingerprint (under display, optical), accelerometer, gyro, compass","4K@30/60fps, 1080p@30/60fps (gyro-EIS)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","Mali-G77 MP11 - Version 1
Adreno 650 - Version 2","128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","$ 460.00 / £ 419.99 / € 488.99 / ₹ 36,100","Fast charging 25W
Fast wireless charging 15W
Reverse wireless charging 4.5W
USB Power Delivery 3.0","Virtual proximity sensing
Bixby natural language commands and dictation
Samsung Pay (Visa, MasterCard certified)",,,,,,,,,,,,,,,,
48,5,5,1.15 W/kg (head)     1.33 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41 - Europe",-30.1 LUFS (Below average),"SM-A426B, SM-A426B/DS, SM-A4260, SM-A426U",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"1, 3, 5, 7, 8, 28, 40, 41, 78 SA/NSA/Sub6 - Europe",HDR,"2020, September 02","6.6 inches, 105.2 cm2 (~84.3% screen-to-body ratio)","Android 10, upgradable to Android 11, One UI 3.1","20 MP, f/2.2, (wide)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",Yes,,"Yes, with A-GPS, GLONASS, GALILEO, BDS",USB Type-C 2.0,Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570),"Prism Dot Black, Prism Dot White, Prism Dot Gray",,FM radio,GSM / HSPA / LTE / 5G,Samsung Galaxy A42 5G,microSDXC (uses shared SIM slot),"5.0, A2DP, LE",Yes,"Available. Released 2020, November 11",164.4 x 75.9 x 8.6 mm (6.47 x 2.99 x 0.34 in),Qualcomm SM7225 Snapdragon 750 5G (8 nm),,"HSPA 42.2/5.76 Mbps, LTE-A, 5G","Li-Po 5000 mAh, non-removable",193 g (6.81 oz),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Adreno 619,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",$ 319.99 / £ 319.99 / € 364.95,Fast charging 15W,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 123˚ (ultrawide)
5 MP, f/2.4, (macro)
5 MP, f/2.4, (depth)",,,Contrast ratio: Infinite (nominal),"AnTuTu: 324686 (v8)
GeekBench: 1910 (v5.1)
GFXBench: 33fps (ES 3.1 onscreen)",Photo / Video,Endurance rating 144h,,,,,,,,,
49,6,6,1.01 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 39, 40, 41, 66","Yes, with stereo speakers (4 speakers)","SM-T500, SM-T505",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,,"2020, September 02","10.4 inches, 307.9 cm2 (~79.0% screen-to-body ratio)","Android 10, upgradable to Android 11, One UI 3.1",5 MP,"1200 x 2000 pixels, 5:3 ratio (~224 ppi density)",Yes,,"Yes, with A-GPS, GLONASS, BDS, GALILEO",USB Type-C 2.0,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),"Dark Gray, Silver, Gold",,No,GSM / HSPA / LTE,Samsung Galaxy Tab A7 10.4 (2020),microSDXC,"5.0, A2DP, LE",No,"Available. Released 2020, September 11",247.6 x 157.4 x 7 mm (9.75 x 6.20 x 0.28 in),Qualcomm SM6115 Snapdragon 662 (11 nm),,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/50 Mbps","Li-Po 7040 mAh, non-removable","476 g (Wi-Fi), 477 g (LTE) (1.05 lb)","Accelerometer, gyro, proximity, compass",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Adreno 610,"32GB 3GB RAM, 32GB 4GB RAM, 64GB 3GB RAM",Nano-SIM,About 240 EUR,Fast charging 15W,,,,,,,,,,,,,,,,,
50,7,7,0.61 W/kg (head)     1.45 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",-28.5 LUFS (Average),"SM-M515F, SM-M515F/DSN",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HDR,"2020, August 31","6.7 inches, 108.4 cm2 (~86.7% screen-to-body ratio)","Android 10, upgradable to Android 11, One UI 3.1","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",Yes,1.38 W/kg (head),"Yes, with A-GPS, GLONASS, GALILEO, BDS","USB Type-C 2.0, USB On-The-Go",Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),"Celestial Black, Electric Blue, White","Glass front (Gorilla Glass 3+), plastic back, plastic frame","FM radio, RDS",GSM / HSPA / LTE,Samsung Galaxy M51,microSDXC (dedicated slot),"5.0, A2DP, LE",Yes,"Available. Released 2020, September 11",163.9 x 76.3 x 9.5 mm (6.45 x 3.00 x 0.37 in),Qualcomm SDM730 Snapdragon 730G (8 nm),,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 400/50 Mbps","Li-Po 7000 mAh, non-removable",213 g (7.51 oz),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Adreno 618,"128GB 6GB RAM, 128GB 8GB RAM","Dual SIM (Nano-SIM, dual stand-by)",$ 427.39 / £ 589.00 / € 389.00,"Fast charging 25W, 100% in 115 min (advertised)
Reverse charging",,"64 MP, f/1.8, 26mm (wide), 1/1.73"", 0.8µm, PDAF
12 MP, f/2.2, 123˚ (ultrawide)
5 MP, f/2.4, (macro)
5 MP, f/2.4, (depth)",Corning Gorilla Glass 3+,,Contrast ratio: Infinite (nominal),"AnTuTu: 266620 (v8)
GeekBench: 1774 (v5.1)
GFXBench: 15fps (ES 3.1 onscreen)",Photo / Video,Endurance rating 156h,,,,,,,,,
51,8,8,0.59 W/kg (head)     1.32 W/kg (body),"2, 4, 5, 13, 66",Yes,SM-A516V,HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"260, 261 mmWave",HDR,"2020, August 14","6.5 inches, 102.0 cm2 (~87.5% screen-to-body ratio)","Android 10, One UI 2","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",Yes,,"Yes, with A-GPS, GLONASS, GALILEO, BDS","USB Type-C 2.0, USB On-The-Go",Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Prism Bricks Blue,"Glass front (Gorilla Glass 3), plastic back, aluminum frame","FM radio, RDS, recording",GSM / HSPA / LTE / 5G,Samsung Galaxy A51 5G UW,microSDXC (uses shared SIM slot),"5.0, A2DP, LE",Yes,"Available. Released 2020, August 14",158.8 x 73.4 x 8.6 mm (6.25 x 2.89 x 0.34 in),Qualcomm SM7250 Snapdragon 765G 5G (7 nm),,"HSPA 42.2/5.76 Mbps, LTE-A, 5G","Li-Po 4500 mAh, non-removable",188.8 g (6.67 oz),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Adreno 620,128GB 6GB RAM,Pre-installed Nano-SIM,About 550 USD,Fast charging 15W,ANT+,"48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF
12 MP, f/2.2, 123˚ (ultrawide)
5 MP, f/2.4, (macro)
5 MP, f/2.2, (depth)",Corning Gorilla Glass 3,,,,,,,,,,,,,,
52,9,9,0.86 W/kg (head)     1.45 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66 - SM-F916B",-25.2 LUFS (Very good),"SM-F916B, SM-F916U, SM-F916U1, SM-F916N",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - SM-F916B,GSM 850 / 900 / 1800 / 1900,"1, 3, 5, 7, 8, 28, 40, 41, 77, 78 Sub6 - SM-F916B",HDR,"2020, August 05","7.6 inches, 180.8 cm2 (~88.6% screen-to-body ratio)","Android 10, upgradable to Android 11, One UI 3.1.1","10 MP, f/2.2, 26mm (wide), 1/3"", 1.22µm
Cover camera:
10 MP, f/2.2, 26mm (wide), 1/3"", 1.22µm",1768 x 2208 pixels (~373 ppi density),No,,"Yes, with A-GPS, GLONASS, GALILEO, BDS",USB Type-C 3.2,Octa-core (1x3.09 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),"Mystic Bronze, Mystic Black, Thom Browne Edition, Aston Martin Racing Edition","Glass front (folded), plastic front (unfolded), glass back, aluminum frame",No,GSM / CDMA / HSPA / EVDO / LTE / 5G,Samsung Galaxy Z Fold2 5G,No,"5.0, A2DP, LE, aptX HD",Yes,"Available. Released 2020, September 18","Unfolded: 159.2 x 128.2 x 6.9 mm
Folded: 159.2 x 68 x 13.8-16.8 mm",Qualcomm SM8250 Snapdragon 865 5G+ (7 nm+),"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom
12 MP, f/2.2, 123˚, 12mm (ultrawide), 1.12µm","HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/200 Mbps, 5G","Li-Po 4500 mAh, non-removable",282 g (9.95 oz),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","4K@30fps, 1080p@30fps, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",Adreno 650,"256GB 12GB RAM, 512GB 12GB RAM",Nano-SIM and/or eSIM,"$ 1,619.99 / £ 1,286.23 / € 800.00 / ₹ 114,990","Fast charging 25W
Fast wireless charging 11W
Reverse wireless charging 4.5W",,,,,,"AnTuTu: 564907 (v8)
GeekBench: 12607 (v4.4), 2715 (v5.1)
GFXBench: 33fps (ES 3.1 onscreen)",Photo / Video,Endurance rating 81h,,,,,,,,,
53,10,10,0.34 W/kg (head)     1.47 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 48, 66, 71 - SM-N986U",-27.8 LUFS (Good),"SM-N986B, SM-N986B/DS, SM-N986U, SM-N986U1, SM-N986W, SM-N9860, SM-N986N",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"2, 5, 41, 66, 71, 260, 261 SA/NSA/Sub6/mmWave - SM-N986U","Dual video call, Auto-HDR","2020, August 05","6.9 inches, 116.7 cm2 (~91.7% screen-to-body ratio)","Android 10, upgradable to Android 11, One UI 3.0","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF",1440 x 3088 pixels (~496 ppi density),No,0.71 W/kg (head)     1.18 W/kg (body),"Yes, with A-GPS, GLONASS, BDS, GALILEO","USB Type-C 3.2, USB On-The-Go","Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - Global
Octa-core (1x3.0 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA","Mystic Bronze, Mystic Black, Mystic White","Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), stainless steel frame",FM radio (Snapdragon model only; market/operator dependent),GSM / CDMA / HSPA / EVDO / LTE / 5G,Samsung Galaxy Note20 Ultra 5G,microSDXC (uses shared SIM slot),"5.0, A2DP, LE, aptX",Yes,"Available. Released 2020, August 21",164.8 x 77.2 x 8.1 mm (6.49 x 3.04 x 0.32 in),"Exynos 990 (7 nm+) - Global
Qualcomm SM8250 Snapdragon 865 5G+ (7 nm+) - USA","108 MP, f/1.8, 26mm (wide), 1/1.33"", 0.8µm, PDAF, Laser AF, OIS
12 MP, f/3.0, 120mm (periscope telephoto), 1.0µm, PDAF, OIS, 5x optical zoom, 50x hybrid zoom
12 MP, f/2.2, 120˚, 13mm (ultrawide), 1/2.55"", 1.4µm","HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/200 Mbps, 5G","Li-Ion 4500 mAh, non-removable",208 g (7.34 oz),"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","4K@30/60fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","Mali-G77 MP11 - Global
Adreno 650 - USA","128GB 12GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","$ 1,035.00 / £ 999.99 / € 1,100.02","Fast charging 25W
USB Power Delivery 3.0
Fast Qi/PMA wireless charging 15W
Reverse wireless charging 4.5W",,,Corning Gorilla Glass Victus,,Contrast ratio: Infinite (nominal),"AnTuTu: 508760 (v8)
GeekBench: 2603 (v5.1)
GFXBench: 42fps (ES 3.1 onscreen)",Photo / Video,Endurance rating 88h,,,,,,,,,
54,11,11,0.32 W/kg (head)     1.47 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66","Yes, with stereo speakers","SM-N985F, SM-N985F/DS",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Dual video call, Auto-HDR","2020, August 05","6.9 inches, 116.7 cm2 (~91.7% screen-to-body ratio)","Android 10, upgradable to Android 11, One UI 3.0","10 MP, f/2.2, 26mm (wide), 1/3.2"", 1.22µm, Dual Pixel PDAF",1440 x 3088 pixels (~496 ppi density),No,0.57 W/kg (head)     1.02 W/kg (body),"Yes, with A-GPS, GLONASS, BDS, GALILEO","USB Type-C 3.2, USB On-The-Go","Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - Global
Octa-core (1x3.0 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA","Mystic Bronze, Mystic Black, Mystic White","Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), stainless steel frame",FM radio (Snapdragon model only; market/operator dependent),GSM / CDMA / HSPA / EVDO / LTE,Samsung Galaxy Note20 Ultra,microSDXC (uses shared SIM slot),"5.0, A2DP, LE, aptX",Yes,"Available. Released 2020, August 21",164.8 x 77.2 x 8.1 mm (6.49 x 3.04 x 0.32 in),"Exynos 990 (7 nm+) - Global
Qualcomm SM8250 Snapdragon 865 5G+ (7 nm+) - USA","108 MP, f/1.8, 26mm (wide), 1/1.33"", 0.8µm, PDAF, Laser AF, OIS
12 MP, f/3.0, 120mm (periscope telephoto), 1.0µm, PDAF, OIS, 5x optical zoom, 50x hybrid zoom
12 MP, f/2.2, 120˚, 13mm (ultrawide), 1/2.55"", 1.4µm","HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/200 Mbps","Li-Ion 4500 mAh, non-removable",208 g (7.34 oz),"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","4K@30/60fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","Mali-G77 MP11 - Global
Adreno 650 - USA","256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM, 512GB 12GB RAM","Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","$ 1,000.95","Fast charging 25W
USB Power Delivery 3.0
Fast Qi/PMA wireless charging 15W
Reverse wireless charging 4.5W","Samsung Wireless DeX (desktop experience support)
ANT+
Bixby natural language commands and dictation
Samsung Pay (Visa, MasterCard certified)
Ultra Wideband (UWB) support",,Corning Gorilla Glass Victus,,,,,,,,,,,,,,
